,office_uuid,target_date,created_at,orders,invitations
0,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-09,2023-06-16 09:06:52+00:00,319,384
1,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-10,2023-06-16 09:06:52+00:00,36,107
2,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-11,2023-06-16 09:06:52+00:00,25,126
3,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-12,2023-06-16 09:06:52+00:00,7,382
4,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-13,2023-06-16 09:06:52+00:00,305,474
5,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-14,2023-06-16 09:06:52+00:00,302,387
6,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-15,2023-06-16 09:06:52+00:00,291,386
7,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-16,2023-06-16 09:06:52+00:00,321,384
8,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-17,2023-06-16 09:06:52+00:00,38,107
9,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-18,2023-06-16 09:06:52+00:00,27,127
10,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-19,2023-06-16 09:06:52+00:00,276,782
11,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-20,2023-06-16 09:06:52+00:00,307,475
12,4ed8b854-681c-4221-b382-155035e74b92,2023-06-09,2023-06-16 09:06:52+00:00,169,210
13,4ed8b854-681c-4221-b382-155035e74b92,2023-06-10,2023-06-16 09:06:52+00:00,8,2
14,4ed8b854-681c-4221-b382-155035e74b92,2023-06-11,2023-06-16 09:06:52+00:00,4,0
15,4ed8b854-681c-4221-b382-155035e74b92,2023-06-12,2023-06-16 09:06:52+00:00,0,123
16,4ed8b854-681c-4221-b382-155035e74b92,2023-06-13,2023-06-16 09:06:52+00:00,165,234
17,4ed8b854-681c-4221-b382-155035e74b92,2023-06-14,2023-06-16 09:06:52+00:00,160,209
18,4ed8b854-681c-4221-b382-155035e74b92,2023-06-15,2023-06-16 09:06:52+00:00,160,193
19,4ed8b854-681c-4221-b382-155035e74b92,2023-06-16,2023-06-16 09:06:52+00:00,168,205
20,4ed8b854-681c-4221-b382-155035e74b92,2023-06-17,2023-06-16 09:06:52+00:00,7,0
21,4ed8b854-681c-4221-b382-155035e74b92,2023-06-18,2023-06-16 09:06:52+00:00,3,0
22,4ed8b854-681c-4221-b382-155035e74b92,2023-06-19,2023-06-16 09:06:52+00:00,140,379
23,4ed8b854-681c-4221-b382-155035e74b92,2023-06-20,2023-06-16 09:06:52+00:00,164,230
24,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-09,2023-06-19 08:01:07+00:00,320,383
25,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-10,2023-06-19 08:01:07+00:00,37,107
26,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-11,2023-06-19 08:01:07+00:00,26,126
27,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-12,2023-06-19 08:01:07+00:00,10,382
28,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-13,2023-06-19 08:01:07+00:00,306,473
29,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-14,2023-06-19 08:01:07+00:00,303,387
30,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-15,2023-06-19 08:01:07+00:00,292,386
31,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-16,2023-06-19 08:01:07+00:00,322,384
32,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-17,2023-06-19 08:01:07+00:00,39,108
33,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-18,2023-06-19 08:01:07+00:00,28,127
34,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-19,2023-06-19 08:01:07+00:00,277,780
35,14cfb009-6b9d-41e9-a9e3-dc7b3470908d,2023-06-20,2023-06-19 08:01:07+00:00,308,474
36,4ed8b854-681c-4221-b382-155035e74b92,2023-06-09,2023-06-19 08:01:07+00:00,169,210
37,4ed8b854-681c-4221-b382-155035e74b92,2023-06-10,2023-06-19 08:01:07+00:00,8,3
38,4ed8b854-681c-4221-b382-155035e74b92,2023-06-11,2023-06-19 08:01:07+00:00,4,0
39,4ed8b854-681c-4221-b382-155035e74b92,2023-06-12,2023-06-19 08:01:07+00:00,0,122
40,4ed8b854-681c-4221-b382-155035e74b92,2023-06-13,2023-06-19 08:01:07+00:00,164,234
41,4ed8b854-681c-4221-b382-155035e74b92,2023-06-14,2023-06-19 08:01:07+00:00,159,210
